Datetime,Residential,PV_tmy
2021-07-19 00:00:00,0.076391,0.0
2021-07-19 00:15:00,0.07367850000000001,0.0
2021-07-19 00:30:00,0.071204,0.0
2021-07-19 00:45:00,0.06911800000000001,0.0
2021-07-19 01:00:00,0.0673645,0.0
2021-07-19 01:15:00,0.0658875,0.0
2021-07-19 01:30:00,0.0646625,0.0
2021-07-19 01:45:00,0.063763,0.0
2021-07-19 02:00:00,0.063049,0.0
2021-07-19 02:15:00,0.0624925,0.0
2021-07-19 02:30:00,0.062128499999999996,0.0
2021-07-19 02:45:00,0.061873,0.0
2021-07-19 03:00:00,0.061789,0.0
2021-07-19 03:15:00,0.061869499999999994,0.0
2021-07-19 03:30:00,0.062268500000000004,0.0
2021-07-19 03:45:00,0.06288099999999999,0.0
2021-07-19 04:00:00,0.06381200000000001,0.0
2021-07-19 04:15:00,0.06489,0.010843535976847684
2021-07-19 04:30:00,0.0662725,0.021687071953695368
2021-07-19 04:45:00,0.067704,0.03253060793054305
2021-07-19 05:00:00,0.0692685,0.043374143907390736
2021-07-19 05:15:00,0.07105349999999999,0.03906862226952474
2021-07-19 05:30:00,0.0733145,0.03476310063165875
2021-07-19 05:45:00,0.0757365,0.030457578993792755
2021-07-19 06:00:00,0.078344,0.026152057355926767
2021-07-19 06:15:00,0.08104249999999999,0.0381118396833323
2021-07-19 06:30:00,0.0836255,0.05007162201073783
2021-07-19 06:45:00,0.085876,0.062031404338143366
2021-07-19 07:00:00,0.087836,0.07399118666554891
2021-07-19 07:15:00,0.08959299999999999,0.06601799844727854
2021-07-19 07:30:00,0.0912065,0.05804481022900819
2021-07-19 07:45:00,0.09268,0.05007162201073783
2021-07-19 08:00:00,0.093975,0.04209843379246748
2021-07-19 08:15:00,0.095242,0.0920105920388399
2021-07-19 08:30:00,0.0964425,0.1419227502852123
2021-07-19 08:45:00,0.0975275,0.19183490853158475
2021-07-19 09:00:00,0.09847600000000001,0.24174706677795718
2021-07-19 09:15:00,0.0994245,0.25306899404790106
2021-07-19 09:30:00,0.1003205,0.264390921317845
2021-07-19 09:45:00,0.1011675,0.2757128485877889
2021-07-19 10:00:00,0.1019655,0.2870347758577328
2021-07-19 10:15:00,0.102865,0.29054297867377177
2021-07-19 10:30:00,0.103866,0.2940511814898107
2021-07-19 10:45:00,0.1049335,0.29755938430584966
2021-07-19 11:00:00,0.106036,0.30106758712188864
2021-07-19 11:15:00,0.107149,0.314143615799852
2021-07-19 11:30:00,0.1081045,0.3272196444778154
2021-07-19 11:45:00,0.10865050000000001,0.34029567315577874
2021-07-19 12:00:00,0.1088325,0.35337170183374217
2021-07-19 12:15:00,0.10866100000000001,0.322754659075584
2021-07-19 12:30:00,0.108227,0.29213761631742585
2021-07-19 12:45:00,0.1076355,0.26152057355926767
2021-07-19 13:00:00,0.1071315,0.2309035308011095
2021-07-19 13:15:00,0.1066695,0.24031189289866853
2021-07-19 13:30:00,0.10631950000000001,0.24972025499622755
2021-07-19 13:45:00,0.10610599999999999,0.25912861709378654
2021-07-19 14:00:00,0.1061095,0.26853697919134556
2021-07-19 14:15:00,0.1062215,0.25721505192140165
2021-07-19 14:30:00,0.10656449999999999,0.24589312465145777
2021-07-19 14:45:00,0.1070265,0.23457119738151383
2021-07-19 15:00:00,0.107527,0.22324927011156998
2021-07-19 15:15:00,0.1080275,0.20682450238193303
2021-07-19 15:30:00,0.1086995,0.1903997346522961
2021-07-19 15:45:00,0.10943450000000002,0.17397496692265915
2021-07-19 16:00:00,0.11032700000000001,0.1575501991930222
2021-07-19 16:15:00,0.11140150000000001,0.13570366347496143
2021-07-19 16:30:00,0.11259499999999999,0.11385712775690067
2021-07-19 16:45:00,0.1137395,0.0920105920388399
2021-07-19 17:00:00,0.11487350000000002,0.07016405632077913
2021-07-19 17:15:00,0.115983,0.06984512879204831
2021-07-19 17:30:00,0.1171135,0.0695262012633175
2021-07-19 17:45:00,0.118237,0.06920727373458668
2021-07-19 18:00:00,0.119357,0.06888834620585588
2021-07-19 18:15:00,0.1204175,0.05342036106241138
2021-07-19 18:30:00,0.12156900000000001,0.03795237591896689
2021-07-19 18:45:00,0.12257349999999999,0.022484390775522403
2021-07-19 19:00:00,0.12364449999999999,0.007016405632077913
2021-07-19 19:15:00,0.124747,0.005262304224058435
2021-07-19 19:30:00,0.126056,0.0035082028160389567
2021-07-19 19:45:00,0.1274665,0.0017541014080194783
2021-07-19 20:00:00,0.12903799999999999,0.0
2021-07-19 20:15:00,0.1305255,0.0
2021-07-19 20:30:00,0.1317575,0.0
2021-07-19 20:45:00,0.1321075,0.0
2021-07-19 21:00:00,0.1311765,0.0
2021-07-19 21:15:00,0.1288455,0.0
2021-07-19 21:30:00,0.1251215,0.0
2021-07-19 21:45:00,0.12023550000000001,0.0
2021-07-19 22:00:00,0.11463899999999999,0.0
2021-07-19 22:15:00,0.1088045,0.0
2021-07-19 22:30:00,0.102991,0.0
2021-07-19 22:45:00,0.0974295,0.0
2021-07-19 23:00:00,0.0921935,0.0
2021-07-19 23:15:00,0.0875035,0.0
2021-07-19 23:30:00,0.083286,0.0
2021-07-19 23:45:00,0.07958649999999999,0.0
